       job_description_hash       | count 
 3eea6c58210d9e87c9f99244a04287eb |    63
 2f42a4e9e496473a2975886f0da6195f |    63
 57473cbfff58f39cc0a610a93236ce69 |    63
 f7f9ec1f90cd10ebc42017530c003f15 |    63
 c01378650ea305c805623f02144fb881 |    63
 f3535b0ce5359f0da1a75288cb4eee34 |    63
 b88c578aa297b31bd2948376f6ae65dc |    63
 c1b38fe3a3a09d5ef727919bee076edc |    63
 a0895a106417f925fca7b0dbf29818ca |    63
 e187e859f74bfe3291476172fc74ca79 |    63
 c7c75e4963f7e6daae032d9d87081bb2 |    63
 a281d1ff9841980b5d19963407af82af |    63
 bb1f8ed50d85fa0ae8c3741d35a06fc6 |    63
 ca937816ede964dc4a2cc596df9e72f7 |    63
 92833763626c81455d322a5086a87d0e |    63
 eae2949d2792691a982eea8c1256d9da |    63
 9fd86efbb6feb958fc54cf87c1ebb419 |    62
 85f4bfc9e472248eea83b5d629a880d1 |    62
